16	0	.	I	6.58496
8	1	.	P	7.58496
4	1	.	crew	4.58496
=0	=0	=0	=0	=0
2..	.	.	.	2.58496
8	0	4	your	7.58496
=1	=1	=1	=1	=1
16	1	.	wea-	2.58496
16	0	.	-ken-	7.58496
16	0	.	-in'	6.58496
8.	1	.	fast	7.58496
8	1	.	no	5.58496
16	.	.	.	7.58496
16	0	2	and	6.58496
16	1	.	I	7.58496
16	0	.	can	4.58496
16	1	.	tell	7.58496
16	0	.	it	6.58496
16	.	.	.	7.58496
16	0	3	your	5.58496
=2	=2	=2	=2	=2
16	1	.	bo-	2.58496
16	0	.	-dy's	7.58496
16	1	.	ge-	6.58496
16	0	.	-ttin'	7.58496
8	1	.	hot	5.58496
8	1	.	so	7.58496
16	.	.	.	6.58496
16	0	2	so	7.58496
16	1	.	I	4.58496
16	0	.	can	7.58496
16	1	.	smell	6.58496
16	0	.	it	7.58496
16	.	.	.	5.58496
16	0	3	so	7.58496
=3	=3	=3	=3	=3
16	1	.	don't	2.58496
8	0	.	be	7.58496
8.	1	.	mad	6.58496
16	.	.	.	7.58496
16	0	3	and	5.58496
16	1	.	don't	7.58496
8	0	.	be	6.58496
8	1	.	sad	7.58496
16	.	.	.	4.58496
16	1	3	'cause	7.58496
16	0	.	your	6.58496
=4	=4	=4	=4	=4
16	1	.	lyr-	2.58496
16	0	.	-ics	7.58496
16	1	.	belong	6.58496
16	0	.	to	7.58496
8	1	.	ice	5.58496
16	.	.	.	7.58496
8	1	2	you	6.58496
16	0	.	can	7.58496
16	1	.	call	4.58496
16	0	.	me	7.58496
8	1	.	dad	6.58496
8	1	3	your	7.58496
=5	=5	=5	=5	=5
16	1	.	pitch-	2.58496
16	0	.	-in'	7.58496
16	0	.	a	6.58496
8	1	.	fit	7.58496
16	0	.	so	5.58496
16	1	.	step	7.58496
8	1	.	back	6.58496
16	0	.	and	7.58496
8	1	.	en-	4.58496
16	1	.	-dure	7.58496
16	0	.	uh	6.58496
8	.	.	.	7.58496
=6	=6	=6	=6	=6
8	1	3	witch	2.58496
16	1	.	doc-	7.58496
16	0	.	-tor	6.58496
16	1	.	ice	7.58496
16	0	.	will	5.58496
16	1	.	do	7.58496
16	0	.	the	6.58496
8	1	.	dance	7.58496
16	0	.	to	4.58496
16	1	.	cure	7.58496
16	0	.	uh	6.58496
16	.	.	.	7.58496
16	1	3	come	5.58496
8	0	.	up	7.58496
=7	=7	=7	=7	=7
8	1	.	close	2.58496
16	.	.	.	7.58496
16	1	.	ha	6.58496
8	.	.	.	7.58496
16	0	2	and	5.58496
8	1	.	don't	7.58496
8	1	.	be	6.58496
8	1	.	square	7.58496
16	.	.	.	4.58496
16	0	3	you	7.58496
=8	=8	=8	=8	=8
16	1	.	wa-	2.58496
16	0	.	-nna	7.58496
16	1	.	ba-	6.58496
16	0	.	-ttle	7.58496
8	1	.	me	5.58496
16	1	.	a-	7.58496
16	0	.	-ny-	6.58496
8	1	.	-time	7.58496
16	1	.	a-	4.58496
16	0	.	-ny-	7.58496
8	1	.	-where	6.58496
16	.	.	.	7.58496
16	0	3	you	5.58496
=9	=9	=9	=9	=9
16	1	.	thought	2.58496
16	0	.	that	7.58496
16	1	.	I	6.58496
16	0	.	was	7.58496
8	1	.	weak	5.58496
16	.	.	.	7.58496
8	1	.	boy	6.58496
16	0	.	your	7.58496
8	1	.	dead	4.58496
8	1	.	wrong	7.58496
8	.	.	.	6.58496
=10	=10	=10	=10	=10
16	1	3	come	2.58496
16	0	.	on	7.58496
16	1	.	e-	6.58496
16	0	.	-very-	7.58496
16	1	.	-bo-	5.58496
16	0	.	-dy	7.58496
8	1	.	it's	6.58496
8	1	.	sing	7.58496
8	1	.	this	4.58496
8	1	.	song	7.58496
8	0	4	say	6.58496
=11	=11	=11	=11	=11
8	1	.	play	2.58496
8	0	.	that	7.58496
8	1	.	fun-	6.58496
8	0	.	-ky	7.58496
4	1	.	mu-	5.58496
8	1	.	-sic	7.58496
8	.	.	.	6.58496
=12	=12	=12	=12	=12
8	1	3	play	2.58496
8	0	.	that	7.58496
8	1	.	fun-	6.58496
8	0	.	-ky	7.58496
4	1	.	mu-	5.58496
8	1	.	-sic	7.58496
8	0	3	say	6.58496
=13	=13	=13	=13	=13
8	1	.	go	2.58496
8	0	.	white	7.58496
8	0	.	boy	6.58496
8	1	.	go	7.58496
8	0	.	white	5.58496
8	0	.	boy	7.58496
4	1	.	go	6.58496
=14	=14	=14	=14	=14
8	1	3	go	2.58496
8	0	.	white	7.58496
8	0	.	boy	6.58496
8	1	.	go	7.58496
8	0	.	white	5.58496
8	0	.	boy	7.58496
8	1	.	go	6.58496
8	0	4	just	7.58496
=15	=15	=15	=15	=15
4	1	.	lay	2.58496
8	1	.	down	7.58496
8	0	.	and	6.58496
4	1	.	boo-	7.58496
8	1	.	-gie	5.58496
8	0	2	and	7.58496
=16	=16	=16	=16	=16
8	1	.	play	2.58496
8	0	.	that	7.58496
8	1	.	fun-	6.58496
8	0	.	-ky	7.58496
8	1	.	mu-	5.58496
8	0	.	-sic	7.58496
8	1	.	till	6.58496
8	0	.	you	7.58496
=-17	=-17	=-17	=-17	=-17
8	1	.	die	2.58496
2..	.	.	.	7.58496
!!!OTL:Play That Funky Music
!!!RTL:To the Extreme
!!!RRD:1990/04/25
!!!RRM:SBK
!!!RC#:07339
!!!BPP:4
!!!BPD:1991/02/09
!!!COC:Vanilla Ice
!!!COL:Vanilla Ice
!!!COM:Robert Matthew Van Winkle
!!!CDT:1967/10/31->2016/02/
!!!ENC:Nathaniel Condit-Schultz
!!!EED:Nathaniel Condit-Schultz
!!!RDT:2014/-2016/
!!!EST:In progress
